arg_struc_cxn	lemma
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	invite
arg0(np)-v(v)-arg1(np)-arg2(pp)	force
arg0(np)-v(v)-arg1(np)-arg2(pp)	connect
arg0(np)-v(v)-arg1(np)-arg2(pp)	receive
arg0(np)-v(v)-arg1(np)-arg2(pp)	draw
arg0(np)-v(v)-arg1(np)-arg2(pp)	lay
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	order
arg0(np)-v(v)-arg1(np)-arg2(np)	call
arg0(np)-v(v)-arg1(np)-arg2(pp)	deal
arg0(np)-v(v)-arg1(np)-arg2(adjp)	turn
arg0(np)-v(v)-arg1(np)-arg2(jj)	turn
arg0(np)-v(v)-arg1(np)-arg2(pp)	apply
arg0(np)-v(v)-arg1(np)-arg2(pp)	wrap
arg0(np)-v(v)-arg1(np)-arg2(pp)	take
arg0(np)-v(v)-arg2(rp)-arg1(np)	push
arg0(np)-v(v)-arg1(np)-arg2(pp)	encourage
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	use
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	use
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	use
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	use
arg0(np)-v(v)-arg1(np)-arg2(pp)	praise
arg0(np)-v(v)-arg2(np)-arg1(np)	tell
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	invite
arg0(np)-v(v)-arg1(np)-arg2(vp)	welcome
arg0(np)-v(v)-arg2(np)-arg1(np)	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	cast
arg0(np)-v(v)-arg1(np)-arg2(pp)	pay
arg0(np)-v(v)-arg1(np)-arg2(pp)	expose
arg0(np)-v(v)-arg1(np)-arg2(pp)	do
arg0(np)-v(v)-arg1(np)-arg2(pp)	compare
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	use
arg0(np)-v(v)-arg1(np)-arg2(pp)	take
arg0(np)-v(v)-arg1(np)-arg2(pp)	isolate
arg0(np)-v(v)-arg2(np)-arg1(np)	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	bring
arg0(np)-v(v)-arg1(np)-arg2(pp)	designate
arg0(np)-v(v)-arg1(np)-arg2(pp)	take
arg0(np)-v(v)-arg1(np)-arg2(in)	appoint
arg0(np)-v(v)-arg1(np)-arg2(pp)	appoint
arg0(np)-v(v)-arg1(np)-arg2(pp)	pay
arg0(np)-v(v)-arg1(np)-arg2(pp)	give
arg0(np)-v(v)-arg1(np)-arg2(s)	urge
arg0(np)-v(v)-arg2(pp)-arg1(np)	introduce
arg0(np)-v(v)-arg1(np)-arg2(pp)	connect
arg0(np)-v(v)-arg1(np)-arg2(pp)	connect
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	urge
arg0(np)-v(v)-arg1(np)-arg2(pp)	brief
arg0(np)-v(v)-arg1(np)-arg2(pp)	gain
arg0(np)-v(v)-arg2(np)-arg1(np)	give
arg0(np)-v(v)-arg1(c("np", "qp"))-arg2(pp)	invest
arg0(np)-v(v)-arg1(np)-arg2(pp)	use
arg0(np)-v(v)-arg2(np)-arg1(np)	give
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	persuade
arg0(np)-v(v)-arg1(np)-arg2(pp)	sue
arg0(np)-v(v)-arg2(np)-arg1(np)	give
arg0(np)-v(v)-arg1(np)-arg2(np)	call
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	try
arg0(np)-v(v)-arg1(np)-arg2(s)	persuade
arg0(np)-v(v)-arg1(np)-arg2(pp)	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	present
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	invite
arg0(np)-v(v)-arg1(np)-arg2(pp)	owe
arg0(np)-v(v)-arg1(np)-arg2(np)	call
arg0(np)-v(v)-arg2(np)-arg1(np)	ask
arg0(np)-v(v)-arg2(np)-arg1(np)	show
arg0(np)-v(v)-arg2(np)-arg1(np)	show
arg0(np)-v(v)-arg1(np)-arg2(pp)	demand
arg0(np)-v(v)-arg1(np)-arg2(pp)	bring
arg0(np)-v(v)-arg1(np)-arg2(pp)	buy
arg0(np)-v(v)-arg1(np)-arg2(pp)	steal
arg0(np)-v(v)-arg1(np)-arg2(pp)	provide
arg0(np)-v(v)-arg1(np)-arg2(pp)	introduce
arg0(np)-v(v)-arg1(np)-arg2(pp)	do
arg0(np)-v(v)-arg1(np)-arg2(pp)	depict
arg0(np)-v(v)-arg1(np)-arg2(pp)	get
arg0(np)-v(v)-arg1(np)-arg2(pp)	import
arg0(np)-v(v)-arg1(np)-arg2(pp)	get
